2025-03-11,Fizardev,form_templates_table
2025-03-11,Fizardev,add migration form kategori
2025-03-11,Fizardev,Merge branch 'main' of https://github.com/Rumah-Sakit-Livasya/liva_simrs_laravel11
2025-03-11,Fizardev,Merge branch 'main' into rajal
2025-03-11,FrahestaYA,edit bot wa
2025-03-11,FrahestaYA,edit bot wa
2025-03-11,FrahestaYA,edit bot wa
2025-03-11,FrahestaYA,update bot wa
2025-03-11,FrahestaYA,edit
2025-03-11,FrahestaYA,edit bot wa
2025-03-11,FrahestaYA,edit bot wa
2025-03-11,FrahestaYA,edit bot wa
2025-03-11,FrahestaYA,edit bot wa
2025-03-11,FrahestaYA,edit bot wa
2025-03-11,FrahestaYA,edit bot wa
2025-03-10,FrahestaYA,edit bot wa
2025-03-10,FrahestaYA,edit bot wa
2025-03-10,FrahestaYA,edit bot wa
2025-03-10,FrahestaYA,update bot wa
2025-03-10,FrahestaYA,Update BotMessageController.php
2025-03-10,FrahestaYA,edit bot wa
2025-03-10,FrahestaYA,edit bot wa
2025-03-08,Dimascndraa,perubahan label
2025-03-08,Dimascndraa,icon avatar
2025-03-06,FrahestaYA,edit bot wa
2025-03-06,FrahestaYA,edit bot wa
2025-03-06,FrahestaYA,edit bot wa
2025-03-06,FrahestaYA,edit bot wa
2025-03-06,Adib Syahna,Merge branch 'main' of https://github.com/Rumah-Sakit-Livasya/liva_simrs_laravel11 into main
2025-03-06,Adib Syahna,daftar pasien IGD
2025-03-06,FrahestaYA,edit bot wa
2025-03-05,FrahestaYA,edit bot wa
2025-03-05,FrahestaYA,edit bot wa
2025-03-05,FrahestaYA,edit bot wa
2025-03-05,FrahestaYA,edit bot wa
2025-03-05,FrahestaYA,edit bot wa
2025-03-05,FrahestaYA,edit bot wa
2025-03-05,FrahestaYA,Update BotMessageController.php
2025-03-05,FrahestaYA,edit bot wa
2025-03-05,FrahestaYA,edit bot wa
2025-03-05,FrahestaYA,edit bot wa
2025-03-05,Fizardev,Merge branch 'main' of https://github.com/Rumah-Sakit-Livasya/liva_simrs_laravel11
2025-03-05,Fizardev,fix session simrs dan hr
2025-03-05,FrahestaYA,edit bot wa
2025-03-05,FrahestaYA,edit bot wa
2025-03-05,FrahestaYA,Update BotMessageController.php
2025-03-05,FrahestaYA,edit bot wa
2025-03-05,Fizardev,add log query
2025-03-05,Fizardev,add log query
2025-03-05,Fizardev,add log query
2025-03-05,Fizardev,add log query
2025-03-05,Fizardev,add log query
2025-03-05,Fizardev,fix sidebar menu
2025-03-05,Fizardev,tes menu
2025-03-05,Fizardev,tes menu
2025-03-05,Fizardev,menu tes
2025-03-04,FrahestaYA,edit bot wa
2025-03-04,FrahestaYA,edit bot wa
2025-03-04,FrahestaYA,edit bot wa
2025-03-04,FrahestaYA,edit bot wa
2025-03-04,FrahestaYA,edit bot wa
2025-03-04,FrahestaYA,edit bot wa
2025-03-04,FrahestaYA,edit bot wa
2025-03-04,FrahestaYA,edit bot wa
2025-03-04,FrahestaYA,edit bot wa
2025-03-04,FrahestaYA,edit bot wa
2025-03-04,Fizardev,on progres order lab
2025-03-04,Fizardev,fix error filter report attendances
2025-03-04,Fizardev,fix error filter report attendances
2025-03-04,Fizardev,fix error filter report attendances
2025-03-04,Fizardev,Merge branch 'rajal'
2025-03-04,Fizardev,fix error filter report attendances
2025-03-04,Fizardev,Merge branch 'main' of https://github.com/Rumah-Sakit-Livasya/liva_simrs_laravel11
2025-03-04,Fizardev,fix attendances report
2025-03-04,Fizardev,on progres patologi klinik
2025-03-04,Dimascndraa,Merge branch 'main' of https://github.com/Rumah-Sakit-Livasya/liva_simrs_laravel11
2025-03-04,Dimascndraa,kegiatan checklist harian
2025-03-04,Fizardev,merge rajal
2025-03-04,Fizardev,fix kabupaten
2025-03-03,FrahestaYA,edit bot wa
2025-03-03,Fizardev,checkpoint tindakan medis
2025-02-28,FrahestaYA,edit bot wa
2025-02-28,FrahestaYA,edit bot wa
2025-02-28,FrahestaYA,edit bot wa
2025-02-28,Dimascndraa,checklist harian category
2025-02-28,Fizardev,fix path sertifikat mfk kepustakaan
2025-02-28,Dimascndraa,branch 5r
2025-02-27,FrahestaYA,edit bot wa
2025-02-27,Fizardev,tambah date di pendaftarancontroler
2025-02-27,Fizardev,merge kasir
2025-02-27,Dimascndraa,modify kasir
2025-02-27,Fizardev,add modal tindakan medis rajal
2025-02-27,Fizardev,store cppt
2025-02-27,Fizardev,fix monitoring view overflow
2025-02-27,Fizardev,fix gaskeun
2025-02-27,Fizardev,fix attendance
2025-02-26,Fizardev,Merge branch 'main' of https://github.com/Rumah-Sakit-Livasya/liva_simrs_laravel11
2025-02-26,Fizardev,fix migration
2025-02-26,FrahestaYA,edit bot wa
2025-02-26,Fizardev,Merge branch 'kasir' of https://github.com/Rumah-Sakit-Livasya/liva_simrs_laravel11
2025-02-26,Fizardev,fix error tarif
2025-02-26,Fizardev,store cppt
2025-02-26,Dimascndraa,daerah
2025-02-26,Dimascndraa,Merge branch 'main' of https://github.com/Rumah-Sakit-Livasya/liva_simrs_laravel11 into kasir
2025-02-26,Dimascndraa,menu tagihan pasien
2025-02-25,Fizardev,fix folder survei
2025-02-25,Fizardev,fix error route transfer pasien antar ruangan
2025-02-25,Fizardev,Merge branch 'main' of https://github.com/Rumah-Sakit-Livasya/liva_simrs_laravel11
2025-02-25,Fizardev,merge rajal
2025-02-25,Fizardev,transfer pasien store
2025-02-25,unknown,edit bot wa
2025-02-25,unknown,edit bot whatsapp
2025-02-25,unknown,edit bot wa
2025-02-25,unknown,edit bot wa
2025-02-25,unknown,edit bot wa
2025-02-25,unknown,edit bot wa
2025-02-25,unknown,edit bot wa
2025-02-25,unknown,edit bot wa
2025-02-25,unknown,edit bot wa
2025-02-24,unknown,edit bot wa
2025-02-24,unknown,edit bot wa
2025-02-24,unknown,edit bot wa
2025-02-24,unknown,git pull
2025-02-24,unknown,edit bot wa
2025-02-24,Fizardev,buka toggle absensi settings
2025-02-24,Fizardev,fix text to speech
2025-02-24,Fizardev,edit bot
2025-02-24,Fizardev,edit bot
2025-02-24,Fizardev,edit wa bot
2025-02-24,Fizardev,store poliklinik pengkajian perawat
2025-02-24,Fizardev,merge main
2025-02-24,Fizardev,fix dayoff request list
2025-02-24,Fizardev,fix
2025-02-24,Fizardev,all requests fix
2025-02-24,Fizardev,fix wa bot info dayoff
2025-02-24,Fizardev,fix wa bot info dayoff
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,get data reply
2025-02-22,Fizardev,test
2025-02-22,Fizardev,test
2025-02-22,Fizardev,test
2025-02-22,Fizardev,test
2025-02-22,Fizardev,dd bot message controller
2025-02-19,Fizardev,test bot wa
2025-02-19,Fizardev,test
2025-02-19,Fizardev,tes bot type string
2025-02-19,Fizardev,tes bot type string
2025-02-19,Fizardev,tes bot type string
2025-02-19,Fizardev,test
2025-02-18,Fizardev,fix
2025-02-18,Fizardev,on progres bot wa livasya
2025-02-18,Fizardev,on progres bot wa livasya
2025-02-18,Fizardev,text to speech controller
2025-02-18,Fizardev,push
2025-02-18,Fizardev,push
2025-02-18,Fizardev,push
2025-02-18,Fizardev,push
2025-02-18,Fizardev,push
2025-02-18,Fizardev,push
2025-02-18,Fizardev,add livasya mesage
2025-02-18,Fizardev,view height poliklinik 100vh
2025-02-18,Fizardev,bot message check point
2025-02-17,Fizardev,onprogres wa bot
2025-02-17,Fizardev,onprogres wa bot
2025-02-17,Fizardev,onprogres wa bot
2025-02-17,Fizardev,onprogres wa bot
2025-02-17,Fizardev,onprogres wa bot
2025-02-17,Fizardev,fix
2025-02-17,Fizardev,fix
2025-02-17,Fizardev,test wa bot
2025-02-17,Fizardev,test wa bot
2025-02-17,Fizardev,test wa bot
2025-02-17,Fizardev,test wa bot
2025-02-17,Fizardev,test wa bot
2025-02-17,Fizardev,test wa bot
2025-02-17,Fizardev,test bot message controller
2025-02-17,Fizardev,pemakaian alat fix view
2025-02-14,Fizardev,fix filter poli
2025-02-13,Fizardev,fix routes simrs.php
2025-02-13,Fizardev,fix monitoring absensi show
2025-02-13,Fizardev,fix merge error
2025-02-13,Fizardev,route bpjs
2025-02-13,Dimascndraa,view kasir donw
2025-02-12,Dimascndraa,menu kasir
2025-02-10,Fizardev,on progres poliklinik filter
2025-02-10,Fizardev,filter
2025-02-06,Fizardev,fix filter poliklinik
2025-02-06,Fizardev,fix laporan absen wa
2025-02-06,Dimascndraa,error api wilayah
2025-02-05,Fizardev,change ip wa sender
2025-02-05,Fizardev,change ip wa sender
2025-02-04,Fizardev,fix clockin absensi
2025-02-04,Fizardev,fix clockin absensi
2025-02-04,Fizardev,fix store group form penilaian
